ITAY  15900 3 0 3 1
khk 15680 4 4 0 0
itat  15240 7 8 1 0
ITAY  1100 1 0 2 1
hey  940 1 0 1 0
asasd  500 1 2 0 0
asdas  300 0 0 1 0
asdf  10 0 0 0 0
hey  10 0 0 0 0
EMPTY  0 0 0 0 0
